id,total_pop,total_men,total_women,houses,households,orthodox,orthodox_perc,rcatholic,rcatholic_perc,protestant,protestant_perc,muslim,muslim_perc,other_rel,other_rel_perc,srb_cro_svn,srb_cro_svn_perc,othr_slavic,othr_slavic_perc,hungarian,hungarian_perc,german,german_perc,albanian,albanian_perc,other_lang,other_lang_perc,age1,age2,age3,age4,age5,age1_perc,age2_perc,age3_perc,age4_perc,age5_perc,illiteracy_perc,illiteracy11_19_perc,illiteracy20_39_perc,illiteracy40_59_perc,illiteracy_60_perc,illiteracy_m_perc,illiteracy_f_perc,illiteracy_m_11_19_perc,illiteracy_f_11_19_perc,illiteracy_m_20_39_perc,illiteracy_f_20_39_perc,illiteracy_m_40_59_perc,illiteracy_f_40_59_perc,illiteracy_m_60_perc,illiteracy_f_60_perc,employed_agriculture,employed_agriculture_perc,employed_agriculture_men,employed_agriculture_men_perc,employed_agriculture_women,employed_agriculture_women_perc,employed_industry,employed_industry_perc,employed_industry_men,employed_industry_men_perc,employed_industry_women,employed_industry_women_perc,employed_commerce,employed_commerce_perc,employed_commerce_men,employed_commerce_men_perc,employed_commerce_women,employed_commerce_women_perc,employed_public_service,employed_public_service_perc,employed_public_service_men,employed_public_service_men_perc,employed_public_service_women,employed_public_service_women_perc,employed_other,employed_other_perc,employed_other_men,employed_other_men_perc,employed_other_women,employed_other_women_perc,employed_total,employed_men,employed_women,"srez,C,80"
1,33551,16288,17263,5978,6676,20,0.1,33490,99.8,20,0.1,4,0,17,0.051,33304,99.26,70,0.21,4,0.01,165,0.49,0,0,8,0.02,8748,5028,9819,6109,3847,26.1,15,29.3,18.2,11.5,5.5,1.213206046,2.148894999,5.025372401,20.22355082,4.6,6.2,1.1,1.3,2.5,1.9,3.8,6,15.8,24.7,13043,75.99930078,7696,70.67682983,5347,85.23832297,2475,14.42139611,2088,19.17531454,387,6.169296987,699,4.07295187,597,5.482597116,102,1.62601626,457,2.662859807,316,2.902011204,141,2.24772836,488,2.843491435,192,1.763247314,296,4.718635422,17162,10889,6273,BREŽICE
2,59176,28413,30763,10312,12311,82,0.1,58946,99.6,110,0.2,9,0,29,0.049,58407,98.7,152,0.26,26,0.04,561,0.95,1,0.002,29,0.05,14397,8858,18102,11110,6709,24.3,15,30.6,18.8,11.3,4.7,1.46759991,2.182079328,4.473447345,15.88910419,4.5,4.8,1.5,1.4,2.4,2,4.4,4.5,14.4,17.3,19494,61.71721649,10578,55.0679369,8916,72.03684253,8185,25.91337935,6111,31.81321256,2074,16.75688778,1335,4.226556069,938,4.883127701,397,3.207562414,672,2.127524853,478,2.488416888,194,1.567423447,1720,5.445450516,924,4.810245198,796,6.431283833,31586,19209,12377,CELJE
3,16741,7764,8977,3225,3357,202,1.2,16501,98.6,1,0,6,0,31,0.185,16027,95.74,25,0.15,16,0.1,566,3.38,0,0,107,0.64,4897,2509,4701,2718,1916,29.3,15,28.1,16.2,11.4,5.1,1.634117178,2.042118698,3.863134658,18.99791232,3.9,6.1,1,2.3,2.3,1.8,4.4,3.5,12.2,23.8,76,1.746724891,42,1.413189771,34,2.46555475,1386,31.85474604,955,32.13324361,431,31.25453227,772,17.74304758,583,19.61641992,189,13.70558376,1193,27.41898414,944,31.76312248,249,18.05656273,924,21.23649736,448,15.07402423,476,34.5177665,4351,2972,1379,ČRNOMELJ
4,38120,18313,19807,7029,7677,79,0.2,37134,97.4,694,1.8,3,0,210,0.551,32286,84.7,51,0.13,5646,14.81,86,0.23,0,0,51,0.13,9865,5798,10995,7353,4109,25.9,15.2,28.8,19.3,10.8,9.2,1.483270093,3.256025466,10.62151503,33.19542468,7.8,10.4,1.9,1.1,3.2,3.3,8.5,12.2,26.1,40.5,7075,80.92188036,3679,75.74634548,3396,87.39063304,928,10.61420565,771,15.87399629,157,4.040144107,213,2.436234702,155,3.191270331,58,1.492537313,205,2.344732929,128,2.635371629,77,1.981471951,322,3.682946357,124,2.553016265,198,5.095213587,8743,4857,3886,DOLNJA LENDAVA
5,32358,16227,16131,4381,6316,69,0.2,32194,99.5,85,0.3,1,0,9,0.028,31249,96.57,56,0.17,2,0.01,1037,3.2,0,0,14,0.04,8630,4763,9762,5991,3212,26.7,14.7,30.2,18.5,9.9,13,3.254251522,6.013112067,17.67651477,39.9750934,11.8,14.2,3.4,3.1,5.6,6.4,15.5,19.8,35.9,44.3,18022,87.83507164,10484,85.18729179,7538,91.80367799,1478,7.203431134,1218,9.896806695,260,3.166483985,321,1.564479969,228,1.852604209,93,1.132626964,443,2.159079832,287,2.332006175,156,1.899890391,254,1.237937421,90,0.731291135,164,1.997320667,20518,12307,8211,DRAVOGRAD
6,17584,8500,9084,2985,3339,8,0,17574,99.9,2,0,0,0,0,0,17543,99.77,11,0.06,0,0,29,0.16,0,0,1,0.01,4629,2424,5395,2929,2207,26.3,13.8,30.7,16.7,12.6,9.2,4.372937294,4.37442076,9.935131444,25.46443135,8.7,9.7,5.6,3.2,4.3,4.4,8.4,11,23.5,27.2,10121,59.42692737,5529,50.34602076,4592,75.91337411,4594,26.97434091,3929,35.77672555,665,10.99355265,712,4.180611825,570,5.190311419,142,2.347495454,528,3.100228994,378,3.441995993,150,2.479748719,1076,6.317890905,576,5.244946276,500,8.265829063,17031,10982,6049,GORNJI GRAD
7,39570,18759,20811,6996,7697,55,0.1,39483,99.8,17,0,8,0,7,0.018,39280,99.27,63,0.16,1,0,220,0.56,1,0.003,5,0.01,10718,5915,11947,6802,4188,27.1,14.9,30.2,17.2,10.6,5.3,1.301775148,1.715911944,5.792413996,20.10506208,5.5,5.1,1.7,0.9,2.1,1.4,6.1,5.6,20.9,19.4,6893,70.75549169,3604,62.18081435,3289,83.35022808,1923,19.73927325,1633,28.17460317,290,7.349214394,358,3.674810101,254,4.382332643,104,2.635580335,222,2.278792856,137,2.363699103,85,2.154080081,442,4.537056046,168,2.898550725,274,6.943740497,9742,5796,3946,KAMNIK
8,37954,18389,19565,7502,8112,47,0.1,37881,99.8,12,0,2,0,12,0.032,29015,76.45,78,0.21,4,0.01,8819,23.24,0,0,38,0.1,9976,5822,10677,6394,5085,26.3,15.3,28.1,16.8,13.4,5,1.116454827,1.891917205,5.08289021,16.10619469,4.5,5.6,1.1,1.1,2.1,1.7,4.6,5.5,13.7,18.2,12887,61.27912506,6817,55.56732964,6070,69.27642091,5729,27.24203519,4220,34.39843495,1509,17.22209541,696,3.309557775,451,3.676230844,245,2.796165259,662,3.147883975,350,2.852950766,312,3.560830861,1056,5.021398003,430,3.505053799,626,7.14448756,21030,12268,8762,KOČEVJE
9,21234,10294,10940,3840,4234,21,0.1,21198,99.8,10,0,2,0,3,0.014,20881,98.34,36,0.17,4,0.02,308,1.45,0,0,5,0.02,5708,3193,5903,4018,2412,26.9,15,27.8,18.9,11.4,6.9,2.505480739,3.794680671,6.893977103,20.43946932,6.9,6.9,2.1,2.9,4.4,3.2,6.8,7,19.3,21.5,13427,68.06752509,7764,64.81883453,5663,73.08982963,3692,18.71641488,2859,23.86875939,833,10.75116159,706,3.579032749,502,4.191016864,204,2.632937532,561,2.843962283,321,2.679913174,240,3.097573567,1340,6.79306499,532,4.441476039,808,10.42849768,19726,11978,7748,KONJICE
10,59221,27952,31269,9526,11843,365,0.6,58602,99,71,0.1,66,0.1,117,0.198,58504,98.79,279,0.47,15,0.03,371,0.63,21,0.035,31,0.05,14932,8752,19754,10080,5703,25.2,14.8,33.4,17,9.6,5.7,1.131170018,1.695859067,7.251984127,23.96984043,6.3,5.2,1.5,0.8,2.5,1,8,6.7,25.2,23,8557,74.55131556,4869,70.55499203,3688,80.57679703,1692,14.74124412,1390,20.1420084,302,6.598208433,353,3.075448684,247,3.579191422,106,2.315927463,267,2.326189232,149,2.159107376,118,2.578107931,609,5.305802405,246,3.564700768,363,7.930959144,11478,6901,4577,KRANJ
11,55252,26181,29071,10416,10911,26,0,55184,99.9,9,0,0,0,33,0.06,55020,99.58,60,0.11,3,0.01,133,0.24,0,0,36,0.07,15547,8132,16340,9089,6144,28.1,14.7,29.6,16.5,11.1,6.9,1.537137236,2.086903305,7.349543404,26.07421875,7,6.8,1.7,1.3,2.7,1.5,7.4,7.3,24.4,27.7,15769,48.58577767,8457,44.78157268,7312,53.8795962,11948,36.81291595,7887,41.76330421,4061,29.92410287,1507,4.643209268,885,4.686258936,622,4.583302631,1534,4.726398817,1010,5.348159915,524,3.861174563,1698,5.231698299,646,3.420704263,1052,7.751823742,32456,18885,13571,KRŠKO
12,34386,17312,17074,4041,7240,58,0.2,34220,99.5,72,0.2,7,0,29,0.084,33989,98.85,104,0.3,14,0.04,270,0.79,0,0,9,0.03,9521,4895,10982,6056,2932,27.7,14.2,31.9,17.6,8.5,5.7,1.307456588,1.730103806,6.968295905,25.64802183,5.6,5.9,1.3,1.3,1.8,1.7,6.7,7.2,25.5,25.8,22307,77.80606906,12645,74.87121795,9662,82.01341143,3422,11.93582142,2742,16.2354195,680,5.772005772,662,2.309033833,441,2.611167032,221,1.875901876,734,2.560167422,418,2.474983717,316,2.682285035,1555,5.423787932,653,3.866421931,902,7.656395892,28670,16889,11781,LAŠKO
13,39821,19134,20687,6586,8107,26,0.1,39771,99.9,19,0,0,0,5,0.013,39641,99.55,52,0.13,2,0.01,114,0.29,0,0,12,0.03,11278,5922,11776,6731,4114,28.3,14.9,29.6,16.9,10.3,5.2,0.607902736,1.188858696,5.407814589,22.63004375,5.5,4.8,0.7,0.5,1.5,0.9,6.8,4.4,22.9,22.4,5796,35.42354235,3058,26.77289441,2738,55.42510121,7507,45.88069918,6430,56.29486955,1077,21.80161943,946,5.78168928,757,6.627560847,189,3.825910931,454,2.774721917,241,2.109963229,213,4.311740891,1659,10.13934727,936,8.194711959,723,14.63562753,16362,11422,4940,LITIJA
14,79519,38936,40583,11937,16350,279,0.4,79081,99.4,88,0.1,45,0.1,26,0.033,78786,99.08,246,0.31,15,0.02,407,0.51,17,0.021,48,0.06,20296,12393,26482,13294,7054,25.5,15.6,33.3,16.7,8.9,3.3,0.685871056,0.978022808,3.550473898,16.54380493,3.3,3.4,0.8,0.6,1.2,0.7,3.7,3.4,16.5,16.6,13363,65.7272146,7553,61.14304218,5810,72.82526949,4161,20.46628302,3221,26.07463774,940,11.7824016,806,3.964389356,568,4.598073343,238,2.98320381,476,2.341252275,293,2.371893467,183,2.293807972,1525,7.500860755,718,5.812353275,807,10.11531712,20331,12353,7978,LJUBLJANA
15,41381,19643,21738,8084,8551,71,0.2,40961,99,323,0.8,0,0,26,0.063,38524,93.1,97,0.23,19,0.05,2721,6.58,0,0,20,0.05,10791,5946,11932,7770,4942,26.1,14.4,28.8,18.8,11.9,4.8,1.833165153,2.355011733,5.173745174,13.43585593,3.9,5.6,2,1.6,2.2,2.5,4.2,5.9,9.7,16.7,18086,43.01172442,10047,38.51343581,8039,50.36336299,14083,33.49187852,10076,38.62460229,4007,25.1033705,3616,8.59949107,2665,10.21581631,951,5.957900013,1869,4.444814383,1262,4.837658604,607,3.802781606,4395,10.45209161,2037,7.808486986,2358,14.77258489,42049,26087,15962,LJUTOMER
